
RISC-V Processor Debug Log
==========================
Session: 2025-07-07 04:14:04
Log File: logs/risc_v_debug_20250707_041404.log
==========================

[04:14:04.450] INFO    | 🚀 Simple Logger Started
[04:14:04.450] SUCCESS | 🖥️ Processor initialized with logging
[04:14:04.450] INFO    | 📂 Loading program from: src/examples/loop_test.asm
[04:14:04.452] SUCCESS | Program loaded: 10 instructions
[04:14:04.452] INFO    | ▶️ Starting execution (max 100 cycles)
[04:14:04.457] INFO    | Cycle  44 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.457] INFO    | Cycle  45 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.457] INFO    | Cycle  46 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.457] INFO    | Cycle  47 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.457] INFO    | Cycle  48 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.457] INFO    | Cycle  49 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.457] INFO    | Cycle  50 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.457] INFO    | Cycle  51 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.457] INFO    | Cycle  52 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.457] INFO    | Cycle  53 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.458] INFO    | Cycle  54 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.458] INFO    | Cycle  55 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.458] INFO    | Cycle  56 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.458] INFO    | Cycle  57 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.458] INFO    | Cycle  58 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.458] INFO    | Cycle  59 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.458] INFO    | Cycle  60 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.458] INFO    | Cycle  61 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.458] INFO    | Cycle  62 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.459] INFO    | Cycle  63 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.459] INFO    | Cycle  64 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.459] INFO    | Cycle  65 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.459] INFO    | Cycle  66 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.459] INFO    | Cycle  67 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.459] INFO    | Cycle  68 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.459] INFO    | Cycle  69 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.459] INFO    | Cycle  70 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.460] INFO    | Cycle  71 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.460] INFO    | Cycle  72 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.460] INFO    | Cycle  73 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.460] INFO    | Cycle  74 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.460] INFO    | Cycle  75 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.460] INFO    | Cycle  76 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.460] INFO    | Cycle  77 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.460] INFO    | Cycle  78 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.461] INFO    | Cycle  79 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.461] INFO    | Cycle  80 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.461] INFO    | Cycle  81 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.461] INFO    | Cycle  82 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.461] INFO    | Cycle  83 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.461] INFO    | Cycle  84 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.461] INFO    | Cycle  85 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.461] INFO    | Cycle  86 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.462] INFO    | Cycle  87 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.462] INFO    | Cycle  88 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.462] INFO    | Cycle  89 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.462] INFO    | Cycle  90 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.462] INFO    | Cycle  91 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.462] INFO    | Cycle  92 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.462] INFO    | Cycle  93 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.462] INFO    | Cycle  94 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.462] INFO    | Cycle  95 | PC:0x0002 | 0xB10B | bne x1, x0, -5
[04:14:04.463] INFO    | Cycle  96 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '5→0'}}
[04:14:04.463] INFO    | Cycle  97 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:14:04.463] INFO    | Cycle  98 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→5'}}
[04:14:04.463] INFO    | Cycle  99 | PC:0x0007 | 0xA122 | beq x1, x2, 2
[04:14:04.463] WARNING | WARNING: Execution stopped after 100 cycles


Session ended: 2025-07-07 04:14:04.463981
